det_fecha_hora,epi,mag,int_max,emis_fecha_hora,href,det_fecha_hora_local,lat_0,lon_0,prof_epi,id,prof_epi_nro,lat,lon
2023-06-13 20:23:00,Mares cercanos de Islas Tokara,3.1,3,2023-06-13 20:27:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230614082735&lang=es,2023-06-14 08:23:00,29.8N,129.8E,10km,20230614082735,10.0,29.8,129.8
2023-06-13 05:03:00,Mares cercanos de Islas Tokara,2.5,1,2023-06-13 05:06:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230613170604&lang=es,2023-06-13 17:03:00,29.7N,129.8E,10km,20230613170604,10.0,29.7,129.8
2023-06-13 03:49:00,Mares cercanos de Islas Tokara,2.4,2,2023-06-13 03:52:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230613155206&lang=es,2023-06-13 15:49:00,29.7N,129.8E,10km,20230613155206,10.0,29.7,129.8
2023-06-12 19:32:00,"Región Noto, Prefectura de Ishikawa",3.3,2,2023-06-12 19:34:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230613073444&lang=es,2023-06-13 07:32:00,37.5N,137.2E,10km,20230613073444,10.0,37.5,137.2
2023-06-12 01:51:00,Costa norte de Prefectura de Iwate,3.8,1,2023-06-12 01:54:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230612135401&lang=es,2023-06-12 13:51:00,39.4N,141.9E,60km,20230612135401,60.0,39.4,141.9
2023-06-11 22:06:00,Mares cercanos de Islas Tokara,1.8,1,2023-06-11 22:09:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230612100939&lang=es,2023-06-12 10:06:00,29.9N,130.0E,10km,20230612100939,10.0,29.9,130.0
2023-06-11 18:27:00,Sudeste de Prefectura de Hyogo,2.5,1,2023-06-11 18:30:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230612063016&lang=es,2023-06-12 06:27:00,35.2N,135.0E,10km,20230612063016,10.0,35.2,135.0
2023-06-11 15:56:00,Mares cercanos de Islas Tokara,2.3,1,2023-06-11 15:59:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230612035943&lang=es,2023-06-12 03:56:00,29.9N,130.0E,10km,20230612035943,10.0,29.9,130.0
2023-06-11 09:25:00,Mares cercanos de Isla Yonaguni,4.7,1,2023-06-11 09:29:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230611212921&lang=es,2023-06-11 21:25:00,24.2N,122.5E,40km,20230611212921,40.0,24.2,122.5
2023-06-11 06:55:00,Alta mar de Uraga,6.2,5-,2023-06-11 06:59:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230611185920&lang=es,2023-06-11 18:55:00,42.5N,142.0E,140km,20230611185920,140.0,42.5,142.0
